"config_id","hamming","state","adj_sets","HEE_EC","EC_ED","EC_P","EC_MH","PH_MH","SA_MH","SI_MH","EC_PH"
219,3,"non-identifiable","","latent","original","original","latent","latent","original","original","original"
220,3,"ok","{C,EC,H,T,U}","original","reversed","original","latent","latent","original","original","original"
221,4,"cyclic","","reversed","reversed","original","latent","latent","original","original","original"
222,4,"non-identifiable","","latent","reversed","original","latent","latent","original","original","original"
223,3,"ok","{C,EC,H,T,U}","original","latent","original","latent","latent","original","original","original"
224,4,"cyclic","","reversed","latent","original","latent","latent","original","original","original"
225,4,"non-identifiable","","latent","latent","original","latent","latent","original","original","original"
226,3,"ok","{C,EC,H,P,T,U}","original","original","reversed","latent","latent","original","original","original"
227,4,"cyclic","","reversed","original","reversed","latent","latent","original","original","original"
228,4,"non-identifiable","","latent","original","reversed","latent","latent","original","original","original"
229,4,"ok","{C,EC,H,P,T,U}","original","reversed","reversed","latent","latent","original","original","original"
230,5,"cyclic","","reversed","reversed","reversed","latent","latent","original","original","original"
231,5,"non-identifiable","","latent","reversed","reversed","latent","latent","original","original","original"
232,4,"ok","{C,EC,H,P,T,U}","original","latent","reversed","latent","latent","original","original","original"
233,5,"cyclic","","reversed","latent","reversed","latent","latent","original","original","original"
234,5,"non-identifiable","","latent","latent","reversed","latent","latent","original","original","original"
235,3,"ok","{C,EC,H,P,T,U}","original","original","latent","latent","latent","original","original","original"
236,4,"cyclic","","reversed","original","latent","latent","latent","original","original","original"
237,4,"non-identifiable","","latent","original","latent","latent","latent","original","original","original"
238,4,"ok","{C,EC,H,P,T,U}","original","reversed","latent","latent","latent","original","original","original"
239,5,"cyclic","","reversed","reversed","latent","latent","latent","original","original","original"
240,5,"non-identifiable","","latent","reversed","latent","latent","latent","original","original","original"
241,4,"ok","{C,EC,H,P,T,U}","original","latent","latent","latent","latent","original","original","original"
242,5,"cyclic","","reversed","latent","latent","latent","latent","original","original","original"
243,5,"non-identifiable","","latent","latent","latent","latent","latent","original","original","original"
244,1,"cyclic","","original","original","original","original","original","reversed","original","original"
